rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	001	O	21	20	0	8	7	25	13
T	001	O	21	20	0	9	8	23	41
T	001	O	21	20	0	10	9	21	24
T	001	O	21	20	0	11	10	19	29
T	001	O	21	20	0	12	11	17	4
T	001	O	21	20	0	13	12	15	25
T	001	O	21	20	1	7	8	27	5
T	001	O	21	20	1	8	9	25	33
T	001	O	21	20	1	9	10	23	43
T	001	O	21	20	1	10	11	21	39
T	001	O	21	20	1	11	12	19	5
T	001	O	21	20	1	12	13	17	19
T	001	O	21	21	0	9	7	24	6
T	001	O	21	21	0	10	8	22	44
T	001	O	21	21	0	11	9	20	18
T	001	O	21	21	0	13	11	16	4
T	001	O	21	21	0	14	12	14	12
T	001	O	21	21	1	7	7	28	8
T	001	O	21	21	1	8	8	26	32
T	001	O	21	21	1	9	9	24	12
T	001	O	21	21	1	10	10	22	18
T	001	O	21	21	1	11	11	20	14
T	001	O	21	21	1	12	12	18	8
T	001	O	21	21	1	13	13	16	6
T	001	O	21	22	0	10	7	23	4
T	001	O	21	22	0	11	8	21	3
T	001	O	21	22	0	12	9	19	3
T	001	O	21	22	0	14	11	15	2
T	001	O	21	22	1	8	7	27	8
T	001	O	21	22	1	10	9	23	3
T	001	O	21	22	1	11	10	21	2
T	001	O	21	22	1	12	11	19	1
